id,mine_easting_ft,mine_northing_ft,longitude_wgs84,latitude_wgs84,utm12_e_m,utm12_n_m,validation_role,validation_residual_m,final_fit_residual_m
EM24-01,15800,2200,-108.35694733333332,32.617350888888886,748000.3553243254,3611952.3578983215,holdout,0.0007864043820878471,0.00037677336568095064
EM24-02,15800,2580,-108.3569281111111,32.61839486111111,747999.2784859777,3612068.1825510985,holdout,0.0020423093158488024,0.001529419222760835
EM24-03,16000,2533,-108.35628125,32.618257194444446,748060.3716113393,3612054.425854821,holdout,9.612849240547705e-05,0.0006378427077255489
EM24-04,16000,2114,-108.35630244444444,32.61710605555555,748061.5598400937,3611926.711443102,holdout,0.0016380876973028824,0.0010378968040257296
EM24-05,16200,2400,-108.35563872222221,32.617883222222225,748121.7106620644,3612014.452365738,holdout,0.002264359021688445,0.0016296894295383761
EM24-06,16400,2615,-108.35497861111111,32.61846533333333,748182.0601389131,3612080.553002984,holdout,0.0019267577553702857,0.0014503288097697283
EM24-07,16400,800,-108.35507044444444,32.613478972222225,748187.2105346925,3611527.335228016,control,0.00010909403616164509,0.0014511622761544923
EM24-08,16600,2040,-108.35435847222222,32.616877083333335,748244.6524423789,3611905.8606146993,holdout,0.0009029920302362813,0.0015737414864796175
EM24-09,16800,1254,-108.35374902777777,32.61470911111111,748307.8444783177,3611666.850481794,holdout,0.0008539008029775652,0.0004002828661352674
EM24-10,16800,1695,-108.35372669444443,32.61592066666667,748306.5934107272,3611801.268076395,holdout,0.0019493400430597412,0.001277958827115592
EM24-11,16800,2180,-108.35370213888888,32.61725313888889,748305.2166598113,3611949.1009373837,holdout,0.0009530787542277925,0.001414068770359304
EM24-12,16800,3286,-108.3536461111111,32.62029166666667,748302.0794105942,3612286.2145259893,holdout,0.0014298026393513364,0.001656695175379117
EM24-13,17000,2200,-108.35305188888888,32.6172995,748366.1205636323,3611955.763250206,holdout,0.0003423496686077721,0.000544225841035581
EM24-14,17000,3480,-108.35298702777777,32.62081605555556,748362.4890281067,3612345.912462774,control,0.0006035072200674757,0.0007393960544793489
EM24-15,16400,3000,-108.3549591111111,32.619523055555554,748180.9691362078,3612197.90335196,holdout,0.0014870454131386808,0.001327548939745701
EM24-16,17200,2045,-108.35241049999999,32.61686508333334,748427.521753598,3611909.0853848387,holdout,0.0010690387268294731,0.000738997693450272
EM24-17,16626,2875,-108.35423177777777,32.619169972222224,748250.2098308082,3612160.4455360794,holdout,0.0012173175127261455,0.0013685134761891329
EM24-18,17200,2041,-108.35241069444444,32.61685411111111,748427.5338338336,3611907.868074728,holdout,0.0014379079665677364,0.0013208783561497845
EM24-19,17000,3000,-108.3530113611111,32.61949736111111,748363.8500035262,3612199.6080014063,holdout,0.0012815967420846054,0.0013731342177976309
EM24-20,17000,3255,-108.35299844444444,32.62019791666667,748363.1260348202,3612277.332122493,holdout,0.0011888896696751917,0.001070860375012071
EM24-21,17000,2790,-108.353022,32.61892041666667,748364.4460627267,3612135.598091472,holdout,0.0005660579866396284,0.0006957022758781871
EM24-22,17400,2125,-108.35175719444445,32.61707630555556,748488.2568371445,3611934.039223224,holdout,0.001900205290394323,0.00158157108463967
EM24-23,17600,2185,-108.35110491666666,32.61723255555555,748549.0472132115,3611952.8944433457,holdout,0.0014609514281281842,0.0009694520335447603
EM24-24,16400,1557.5,-108.3550321111111,32.615560055555555,748185.0619198494,3611758.2234655116,holdout,0.0011419604859984726,0.00019671050888655248
EM24-25,17000,1558,-108.35308438888889,32.615535722222226,748367.9444824868,3611760.0785861774,holdout,0.0022274296524309447,0.0014354962253736838
EM24-26,17600,1390,-108.35114524999999,32.61504844444445,748551.3019080329,3611710.5749135762,control,0.00047132669631189816,0.0008831522242644688
EM24-27,17400,1682,-108.35177966666666,32.61585922222223,748489.5127810566,3611799.0081055854,holdout,0.0019014418557783599,0.0015520453846054809
EM24-28,17200,2449,-108.35239002777777,32.617975,748426.3750342668,3612032.2266652533,holdout,0.0006420532225481655,0.0005873466570366156
EM24-29,16800,2474,-108.35368725,32.61806083333333,748304.3824241685,3612038.7116697533,holdout,0.0007711103849011969,0.00045909873205814816
EM24-30,16400,2000,-108.35500972222222,32.61677575,748183.8061647327,3611893.1001369003,holdout,0.0005358145936459886,0.0006008941357613774
EM24-31,16000,1814,-108.35631761111111,32.61628186111111,748062.4112640169,3611835.270285969,holdout,0.0014560324218239333,0.0008772109040578382
EM24-32,15800,1852,-108.35696491666666,32.61639480555556,748001.3433338747,3611846.284238621,holdout,0.002533388532662064,0.0015081566658465867
EM24-33,15400,2252,-108.35824319444444,32.617510861111114,747878.2857267531,3611967.073560086,control,0.0006157152392987399,0.001288012836631352
EM24-34,17200,3389,-108.35234238888889,32.620557472222224,748423.7069158391,3612318.7428000434,holdout,0.001077454501483556,0.0010171330553772377
